Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,SMA_50,Signal,Strategy_Returns,Cumulative_Returns
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,78.70862579345703,93984000,56.162885052430774,0.9087598401214336,,82.56512186032758,79.93250045776367,77.29987905519975,1.6960777772088318,,0,0.0,0.996059996234457
2020-02-20,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,77.90116119384766,100566000,52.62384619818596,0.8191451535439143,0.9395999947229283,82.58778890792487,79.96500015258789,77.3422113972509,1.6899294081475984,,-1,-0.001,0.9950639362382225
2020-02-21,79.65499877929688,80.11250305175781,77.625,78.26249694824219,76.13786315917969,129554000,45.8319926965515,0.5950123346749905,0.8706824627133407,82.61353282753345,79.8877498626709,77.16196689780836,1.7468989541197566,,-1,0.02263503052234317,1.0175872388066576
2020-02-24,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.52128601074219,222195200,35.66476422421867,0.11607632228763975,0.7197612346282006,83.22309847691278,79.63612480163575,76.04915112635871,2.0474771860869283,,-1,0.047500385551912494,1.0659230249826799
2020-02-25,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,70.06485748291016,230673600,30.68552596250973,-0.46190587549095596,0.4834278126043693,84.17572453911326,79.37524948120117,74.57477442328907,2.1940858495179403,,-1,0.033872179058296537,1.1020281605472544
2020-02-26,71.63249969482422,74.47000122070312,71.625,73.1624984741211,71.17632293701172,198054800,35.100658873753815,-0.8183372989029749,0.22307479030290045,84.57331941527406,79.06224937438965,73.55117933350525,2.2405798046025964,,-1,-0.015863675150069367,1.0845459438021043
2020-02-27,70.2750015258789,71.5,68.23999786376953,68.37999725341797,66.52365112304688,320605600,27.27014637642533,-1.4697769753200163,-0.11549556282168288,85.55171128245735,78.42699928283692,71.30228728321649,2.4321455764418083,,-1,0.06536820530254006,1.1554407657165975
2020-02-28,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,66.48474884033203,426510000,27.21545862074538,-1.9666055472521293,-0.4857175597077722,86.05550800029042,77.79562416076661,69.5357403212428,2.65199247356957,,-1,0.0005849797767482068,1.156116675197772
2020-03-02,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.67451477050781,341397200,45.8252754704623,-1.8258971416769327,-0.7537534761016044,86.03042487703637,77.66187400817871,69.29332313932106,2.963993316347525,,-1,-0.09310072274952952,1.0484813771540764
2020-03-03,75.9175033569336,76.0,71.44999694824219,72.33000183105469,70.3664321899414,319475600,41.55827299595576,-1.8841066332459633,-0.9798241075304762,86.10547189337908,77.42012405395508,68.73477621453108,3.0772797260196887,,-1,0.0317592795151177,1.0817803902775083
